article,rank_page,word,tf,idf,tfidf,count
1,1,益生菌推薦,0.0034662045060658577,5.285293377783469,0.018319907721953098,4
1,1,比較,0.006932409012131715,2.1195356352454167,0.014693487939309647,8
1,1,挑選,0.005199306759098787,3.072867059040437,0.015976778469880958,6
1,1,知道,0.006932409012131715,0.7608930756343938,0.005274822014796491,8
1,1,購買,0.004332755632582322,1.7448422994403348,0.0075599753008680015,5
1,1,台灣,0.008665511265164644,1.1296567752149438,0.00978905351139466,10
1,1,營養,0.0034662045060658577,1.0886185932832781,0.003773374673425574,4
1,1,營養師,0.012998266897746967,3.9408156601876043,0.051223773745939394,15
1,1,益生菌,0.05285961871750433,0.02207590705634372,0.0011669240298413926,61
1,1,微生物,0.005199306759098787,2.473616389508819,0.01286109041339074,6
1,1,益生菌什麼時候吃,0.0017331022530329288,9.513572119625888,0.016487993274914882,2
1,1,有用,0.0034662045060658577,2.8842760513789734,0.009997490646027637,4
1,1,了解,0.012131715771230503,0.9141095969953389,0.011089717814501512,14
1,1,功效,0.0034662045060658577,1.4786393170947838,0.005125266263760082,4
1,1,吃益生菌,0.004332755632582322,3.5884201876205717,0.015547747779985145,5
1,1,好菌,0.006932409012131715,3.8776827581448385,0.026881682898751046,8
1,1,益生菌功效,0.0008665511265164644,6.480662569447854,0.005615825450128123,1
1,1,腸道菌叢生態,0.0008665511265164644,7.385579804879455,0.006399982499895542,1
1,1,調整,0.004332755632582322,2.8459572164471147,0.012330837159649544,5
1,1,體質,0.005199306759098787,3.21887473316574,0.01673591715684094,6
1,1,排便順暢,0.004332755632582322,4.396981572511214,0.019051046674658637,5
1,1,建議,0.004332755632582322,1.9965138628256947,0.008650406684686718,5
1,1,食用,0.0034662045060658577,1.0847350937596,0.0037599136698772966,4
1,1,益生菌比較,0.0017331022530329288,6.886113433049056,0.011934338705457636,2
1,1,胃酸,0.004332755632582322,3.6140215448927138,0.01565867220490777,5
1,1,食物,0.0034662045060658577,0.7241917121518194,0.002510196575916185,4
1,1,濃度,0.006065857885615251,3.605950489087402,0.021873183209368992,7
1,1,使用,0.011265164644714038,0.3838659322021406,0.004324312927753751,13
1,1,包埋,0.006065857885615251,4.840389633429889,0.029361115627391007,7
1,1,技術,0.006065857885615251,2.4633070251641573,0.01494207034328345,7
1,1,益生菌品牌,0.004332755632582322,5.394491675062571,0.0233730141900458,5
1,1,總菌,0.0017331022530329288,8.512618518368999,0.014753238333395145,2
1,1,菌株,0.009532062391681109,3.6156436026335053,0.03446454040638523,11
1,1,產品,0.018197573656845753,1.523700800395985,0.027727657546200768,21
1,1,研究,0.0034662045060658577,1.1612311164786606,0.00402506452852222,4
1,1,真正,0.004332755632582322,1.9402490418315919,0.008406624964608284,5
1,1,球菌,0.0025996533795493936,3.838380987104132,0.009978460105123394,3
1,1,Enterococcus,0.0034662045060658577,6.585703423880555,0.02282739488346813,4
1,1,需要,0.005199306759098787,0.7241917121518194,0.0037652948638742783,6
1,1,編碼,0.008665511265164644,6.184477110734573,0.05359165607222333,10
1,1,菌種,0.0025996533795493936,4.575056147237563,0.011893560174794357,3
1,1,專利,0.006932409012131715,2.916024724491961,0.020215076079666973,8
1,1,國家,0.0034662045060658577,3.026775994335456,0.010491424590417525,4
1,1,日本,0.004332755632582322,0.6462301774388637,0.0027999574412429103,5
1,1,研發,0.005199306759098787,3.310262380286096,0.01721106956821194,6
1,1,菌叢,0.0025996533795493936,4.945135853785063,0.012855639134623214,3
1,1,適合,0.004332755632582322,2.673711430610126,0.011584538260875764,5
1,1,幫助,0.0034662045060658577,2.175625080917447,0.007541161458985951,4
1,1,補充,0.004332755632582322,2.0873325062744654,0.009043901673632865,5
1,1,消化道,0.005199306759098787,3.5436251230324456,0.018424394053894864,6
1,1,壞菌,0.0025996533795493936,5.090125206990731,0.01323256119668301,3
1,1,注意,0.0034662045060658577,0.8436653538533588,0.0029243166511381587,4
1,1,乳酸菌,0.006932409012131715,1.9402490418315919,0.013450599943373253,8
1,1,細菌,0.0008665511265164644,3.356782338960475,0.002908823517296772,1
1,1,菌種平衡,0.0008665511265164644,8.209355355980247,0.007113826131698654,1
1,1,健康,0.0034662045060658577,0.07242979089645885,0.0002510564675787135,4
1,1,乳酸桿菌,0.0008665511265164644,5.090125206990731,0.004410853732227669,1
1,1,雙歧桿菌屬,0.0008665511265164644,8.273990174484158,0.007169835506485405,1
1,1,改變細菌叢生態,0.0008665511265164644,6.044349546565756,0.005237737908635837,1
1,1,嗜熱鏈球菌,0.0008665511265164644,6.409205570241213,0.005553904306968122,1
1,1,乳桿菌,0.0008665511265164644,4.834880007975136,0.004189670717482787,1
1,1,添加,0.006065857885615251,1.0331188606080437,0.006266752187397145,7
1,1,小朋友,0.0034662045060658577,2.6123425219071086,0.009054913420821866,4
1,1,檢驗,0.004332755632582322,2.9741323070500396,0.012886188505416115,5
1,1,大腸桿菌,0.0017331022530329288,5.852257153758153,0.01014256005850633,2
1,1,致病菌,0.0008665511265164644,3.3150585467987677,0.0028726677181965055,1
1,1,80,0.0034662045060658577,1.6495321423632772,0.005717615744760059,4
1,1,益生菌品牌推薦,0.0008665511265164644,7.605191118690748,0.006590286931274478,1
1,1,300億機能益生菌,0.0034662045060658577,7.954338735976319,0.027571364769415314,4
1,1,推薦,0.006932409012131715,1.2486229258566848,0.008655964823963152,8
1,1,文章,0.006065857885615251,0.4708773033642649,0.002856274803769371,7
1,1,酵素,0.006065857885615251,1.9044243260096796,0.011551967315483325,7
1,1,魚油,0.00779896013864818,3.1855920403906013,0.024844305341001224,9
