rank_page,word,count_sum,count_mean,tfidf_mean,rank_article,rank_page_count,article_count,current_page_count,first_appear
6,比菲德氏菌,1,1.0,0.0051976821670854925,4,9,17,1,1
6,比較,6,6.0,0.011818971943747677,4,6,8,1,1
6,注意,4,4.0,0.004202567142482485,4,5,6,1,1
6,活性,12,6.0,0.013113370661870186,4,3,4,2,1
6,活菌,10,5.0,0.01578601452916467,4,10,25,2,1
6,添加,13,6.5,0.00754666479411277,4,7,13,2,1
6,滅菌,1,1.0,0.00473059963474975,4,1,1,1,6
6,無菌室,1,1.0,0.011418478581059007,4,1,1,1,6
6,熱縮膜,6,6.0,0.06071912878982931,4,2,2,1,6
6,狀態,8,8.0,0.03632205857114729,4,2,2,1,6
6,球菌,9,9.0,0.043020459382238085,4,9,17,1,1
6,產品,21,10.5,0.01847956395782258,4,10,27,2,1
6,病原菌,1,1.0,0.0647041931396781,4,3,3,1,5
6,痘痘,5,5.0,0.018238128817485925,4,1,1,1,6
6,發表,6,6.0,0.016778355350635227,4,1,1,1,6
6,皮膚,10,10.0,0.03189113518478565,4,1,1,1,6
6,益生,9,9.0,-3.644622641723128e-05,4,6,8,1,2
6,益生菌,143,35.75,0.0012074046710390464,4,10,58,4,1
6,益生菌膠囊,1,1.0,0.004396486562879489,4,4,4,1,3
6,益生質,4,4.0,0.030610275408968737,4,8,23,1,1
6,益菌,1,1.0,0.004189700541846127,4,10,32,1,1
6,益菌優,1,1.0,0.006345732541453236,4,2,2,1,1
6,研究,9,9.0,0.009712899673148648,4,8,16,1,1
6,空腹,4,4.0,0.013201511706278302,4,1,1,1,6
6,粉末,4,4.0,0.016262351981709722,4,3,3,1,5
6,精華,5,5.0,0.014825837490416662,4,1,1,1,6
6,納豆菌,1,1.0,0.005184699084551748,4,2,2,1,3
6,細菌,13,4.333333333333333,0.019903877385634268,4,9,34,3,1
6,總菌,1,1.0,0.007911355500342936,4,4,4,1,1
6,美容,4,4.0,0.005350055516683414,4,3,3,1,3
6,肌膚,10,10.0,0.043058520295789035,4,3,3,1,5
6,肥皂,6,6.0,0.03028775957813855,4,1,1,1,6
6,胃酸,8,8.0,0.026870048660912367,4,5,7,1,1
6,腸內細菌,1,1.0,0.010440991470155285,4,2,2,1,3
6,腸胃,4,4.0,0.01298335138186506,4,5,8,1,1
6,腸胃健康,4,4.0,0.03330806629955707,4,1,1,1,6
6,腸胃道,9,9.0,0.06844588590228265,4,5,5,1,1
6,腸道,28,9.333333333333334,0.03595502646271587,4,10,36,3,1
6,膠囊,4,4.0,0.009007809014482459,4,3,3,1,3
6,膳食纖維,9,9.0,0.04039738056111776,4,5,6,1,1
6,膽鹽,4,4.0,0.024321019797415147,4,2,2,1,1
6,自然,4,4.0,0.0031818695598043218,4,1,1,1,6
6,菌叢,3,1.5,0.00767501421241646,4,8,26,2,1
6,菌屬,1,1.0,0.01123353547928944,4,1,1,1,6
6,菌數,8,2.6666666666666665,0.06100307012214673,4,10,29,3,1
6,菌株,20,6.666666666666667,0.05257735165622337,4,10,35,3,1
6,菌種,20,6.666666666666667,0.06941986156622698,4,10,47,3,1
6,菌種平衡,1,1.0,0.010223356607696445,4,6,10,1,1
6,菌群,5,5.0,0.016530908576504823,4,6,8,1,1
6,菌脂,1,1.0,0.09460589761977596,4,1,1,1,6
6,表面,6,6.0,0.02548122663161612,4,1,1,1,6
6,補充,6,6.0,0.011639400592608543,4,8,17,1,1
6,訂閱,6,6.0,0.01808570034426086,4,1,1,1,6
6,證實,4,4.0,0.015121292932099309,4,4,4,1,1
6,購買,4,4.0,0.0102487066046422,4,3,4,1,1
6,身體,9,4.5,0.009428379335902395,4,6,15,2,2
6,選購,4,4.0,0.015260161033660657,4,3,3,1,5
6,金黃色葡萄球菌,1,1.0,0.008751313281644132,4,2,2,1,3
6,雙歧桿菌,2,1.0,0.007070115692412348,4,7,18,2,2
6,需要,5,5.0,0.004509288369563011,4,8,14,1,1
6,風味,4,4.0,0.01638919785662962,4,2,2,1,4
6,食品,11,5.5,0.0037472621564964073,4,8,10,2,1
6,食物,9,4.5,0.0034863169095162346,4,9,20,2,1
6,食用,9,9.0,0.009073063051892564,4,8,18,1,1
6,飲料,4,4.0,0.007812331361473019,4,3,3,1,5
6,高菌,1,1.0,0.009904228994052909,4,5,6,1,1
6,鼠李糖乳酸桿菌,1,1.0,0.009449316174656363,4,6,9,1,3
7,137,6,6.0,0.029223482616593167,3,1,1,1,7
7,AG419,4,4.0,0.06096631393214344,3,1,1,1,7
7,乳桿菌屬,1,1.0,0.013945978981620696,3,3,4,1,1
7,乳酸菌,21,7.0,0.025837890466078272,3,10,43,3,1
7,人體,4,4.0,0.016694002900603168,3,9,16,1,1
7,作用,4,4.0,0.007305479243922813,3,5,6,1,5
7,健康,9,4.5,0.0005533685212802459,3,10,39,2,1
7,具有,4,4.0,0.008117330750820023,3,5,6,1,1
7,副乾酪乳桿菌,1,1.0,0.0112082380586303,3,8,13,1,1
7,功效,9,9.0,0.0225938095990714,3,9,16,1,1
7,吃益生菌,2,1.0,0.009947005156359753,3,10,31,2,1
7,嗜酸乳桿菌,1,1.0,0.009326759579465377,3,10,20,1,1
7,壞菌,6,3.0,0.03686136120251222,3,9,34,2,1
7,好菌,7,3.5,0.03553825095374351,3,10,36,2,1
7,孩童,4,4.0,0.026932735832238472,3,1,1,1,7
7,學齡,5,5.0,0.03986887226570435,3,1,1,1,7
7,定殖,4,4.0,0.06814487279016028,3,6,6,1,1
7,專利,6,6.0,0.02970483590314392,3,7,10,1,1
7,幫助,8,8.0,0.029550085988691983,3,8,18,1,1
7,建議,13,13.0,0.044065670996152856,3,8,18,1,1
7,成分,4,4.0,0.007535410627157475,3,7,7,1,1
7,抑菌,1,1.0,0.005793163184704367,3,4,5,1,3
7,指菌,1,1.0,0.017313901393943613,3,1,1,1,7
7,挑選,5,5.0,0.026085458905266867,3,7,11,1,1
7,改變細菌叢生態,1,1.0,0.010262053559534391,3,5,7,1,1
7,效果,5,5.0,0.006538903354011498,3,7,11,1,3
7,日本,4,4.0,0.004388659948651025,3,5,5,1,1
7,植物乳酸菌,6,6.0,0.07045653527838884,3,3,3,1,3
7,檢驗,4,4.0,0.02019784249269976,3,2,2,1,1
7,每日,8,8.0,0.02074997445493288,3,3,4,1,3
7,每次,6,6.0,0.020047393428739173,3,1,1,1,7
7,比菲德氏菌,2,2.0,0.01899051277346006,3,9,17,1,1
7,活菌,10,5.0,0.027890094262173926,3,10,25,2,1
7,濃縮,4,4.0,0.023542331057710714,3,1,1,1,7
7,營養師,4,4.0,0.026762754907895446,3,4,5,1,1
7,特殊,4,4.0,0.010471317496516136,3,2,3,1,1
7,球菌,1,1.0,0.006516775869446744,3,9,17,1,1
7,環境,5,5.0,0.04967336392338445,3,8,14,1,1
7,產品,25,12.5,0.03233660442266522,3,10,27,2,1
7,發現,4,4.0,0.030518986773267462,3,6,6,1,1
7,益生菌,75,25.0,0.001158334020069265,3,10,58,3,1
